1001,3.64E-06,3.24E-06,Decent_Best_run1,Decent_Average_run1
1001,3.67E-06,3.50E-06,3.87E-06,3.65E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.66E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.66E-06
1000,3.67E-06,3.50E-06,3.87E-06,3.66E-06
1001,3.67E-06,3.50E-06,3.87E-06,3.66E-06
1000,3.67E-06,3.50E-06,3.93E-06,3.66E-06
1001,3.67E-06,3.50E-06,3.93E-06,3.66E-06
1000,3.67E-06,3.50E-06,3.93E-06,3.66E-06
1001,3.67E-06,3.50E-06,3.93E-06,3.66E-06
1000,3.67E-06,3.50E-06,3.93E-06,3.66E-06
1001,3.67E-06,3.50E-06,3.93E-06,3.66E-06
1000,3.67E-06,3.50E-06,3.93E-06,3.66E-06
1001,3.67E-06,3.50E-06,3.93E-06,3.66E-06
1000,3.67E-06,3.51E-06,3.93E-06,3.66E-06
1001,3.67E-06,3.51E-06,3.93E-06,3.66E-06
1000,3.67E-06,3.51E-06,3.93E-06,3.66E-06
1001,3.67E-06,3.50E-06,3.93E-06,3.66E-06
1000,3.67E-06,3.51E-06,3.93E-06,3.66E-06
1001,3.67E-06,3.50E-06,3.93E-06,3.66E-06
1000,3.67E-06,3.51E-06,3.93E-06,3.66E-06
1001,3.67E-06,3.50E-06,3.93E-06,3.67E-06
1000,3.67E-06,3.51E-06,3.93E-06,3.67E-06
1001,3.67E-06,3.51E-06,3.93E-06,3.66E-06
1000,3.67E-06,3.51E-06,3.93E-06,3.66E-06
1001,3.67E-06,3.51E-06,3.93E-06,3.66E-06
1000,3.67E-06,3.51E-06,3.93E-06,3.67E-06
1001,3.67E-06,3.51E-06,3.93E-06,3.66E-06
1000,3.67E-06,3.51E-06,3.93E-06,3.67E-06
1001,3.67E-06,3.51E-06,3.93E-06,3.66E-06
1000,3.67E-06,3.51E-06,3.93E-06,3.67E-06
1001,3.67E-06,3.51E-06,3.93E-06,3.67E-06
1000,3.67E-06,3.51E-06,3.93E-06,3.67E-06
1001,3.67E-06,3.51E-06,3.93E-06,3.67E-06
1000,3.67E-06,3.51E-06,3.93E-06,3.66E-06
1001,3.67E-06,3.51E-06,3.93E-06,3.67E-06
1000,3.67E-06,3.52E-06,3.93E-06,3.67E-06
1001,3.67E-06,3.51E-06,3.93E-06,3.67E-06
1000,3.67E-06,3.51E-06,3.93E-06,3.67E-06
1001,3.67E-06,3.51E-06,3.95E-06,3.67E-06
1000,3.67E-06,3.52E-06,3.95E-06,3.67E-06
1001,3.67E-06,3.51E-06,3.95E-06,3.67E-06
1000,3.67E-06,3.51E-06,3.95E-06,3.68E-06
1001,3.67E-06,3.52E-06,3.95E-06,3.67E-06
1000,3.67E-06,3.51E-06,3.95E-06,3.68E-06
1001,3.67E-06,3.52E-06,3.95E-06,3.66E-06
1000,3.67E-06,3.51E-06,3.95E-06,3.67E-06
1001,3.67E-06,3.52E-06,3.95E-06,3.67E-06
1000,3.67E-06,3.52E-06,3.95E-06,3.67E-06
1001,3.67E-06,3.52E-06,3.95E-06,3.67E-06
1000,3.67E-06,3.51E-06,3.95E-06,3.67E-06
1001,3.67E-06,3.52E-06,3.95E-06,3.68E-06
1000,3.67E-06,3.52E-06,3.95E-06,3.67E-06
1001,3.70E-06,3.52E-06,3.95E-06,3.67E-06
1000,3.70E-06,3.52E-06,3.95E-06,3.67E-06
1001,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1000,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1001,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1000,3.70E-06,3.52E-06,3.95E-06,3.67E-06
1001,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1000,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1001,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1000,3.70E-06,3.52E-06,3.95E-06,3.67E-06
1001,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1000,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1001,3.70E-06,3.52E-06,3.95E-06,3.67E-06
1000,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1001,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1000,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1001,3.70E-06,3.53E-06,3.95E-06,3.68E-06
1000,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1001,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1000,3.70E-06,3.52E-06,3.95E-06,3.67E-06
1001,3.70E-06,3.52E-06,3.95E-06,3.67E-06
1000,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1001,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1000,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1001,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1000,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1001,3.70E-06,3.53E-06,3.95E-06,3.69E-06
1000,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1001,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1000,3.70E-06,3.53E-06,3.95E-06,3.68E-06
1001,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1000,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1001,3.70E-06,3.53E-06,3.95E-06,3.68E-06
1000,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1001,3.70E-06,3.52E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.54E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.54E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.53E-06,3.95E-06,3.67E-06
1000,3.71E-06,3.54E-06,3.95E-06,3.69E-06
1001,3.71E-06,3.53E-06,3.95E-06,3.67E-06
1000,3.71E-06,3.54E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.54E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.54E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.54E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.54E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.54E-06,3.95E-06,3.69E-06
1000,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.54E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.54E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.54E-06,3.95E-06,3.69E-06
1000,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.54E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.54E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.54E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.54E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.54E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.54E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.54E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1001,3.71E-06,3.54E-06,3.95E-06,3.68E-06
1000,3.71E-06,3.53E-06,3.95E-06,3.68E-06
1001,3.72E-06,3.54E-06,3.95E-06,3.68E-06
1000,3.72E-06,3.54E-06,3.95E-06,3.68E-06
1001,3.72E-06,3.54E-06,3.95E-06,3.68E-06
1000,3.72E-06,3.54E-06,3.95E-06,3.68E-06
